wrf_date;data;stn_id;temp;rain;windU;windV;pressure
21.12.2023;25.12.2023 09:00;36208;-0.7;0;-5;4.7;1715.6
21.12.2023;25.12.2023 12:00;36208;-2.2;0;-6.3;4;1799.7
21.12.2023;25.12.2023 15:00;36208;-0.7;0.1;-6.4;2.7;1805.1
21.12.2023;25.12.2023 18:00;36208;-2.9;0;-6.8;3.4;1784.3
21.12.2023;25.12.2023 21:00;36208;-2.9;0;-6.6;3.2;1733.2
21.12.2023;26.12.2023 00:00;36208;-2.1;0;-6.3;2.5;1621.2
21.12.2023;26.12.2023 03:00;36208;-0.7;0;-7.1;2.9;1453.7
21.12.2023;26.12.2023 06:00;36208;1.6;0;-6;1.8;1243.9
21.12.2023;26.12.2023 09:00;36208;1.6;0;-5.7;-0.4;1054.5
21.12.2023;26.12.2023 12:00;36208;0.9;0;-6.4;3.2;1097.1
21.12.2023;26.12.2023 15:00;36208;1.3;0;-3;4.6;1441.7
21.12.2023;26.12.2023 18:00;36208;-0.9;3.9;-4.3;2.4;1663.1
21.12.2023;26.12.2023 21:00;36208;-2.3;0.8;-2.4;5.2;1852.7
21.12.2023;27.12.2023 00:00;36208;-4.2;0;-2.4;3.4;1932.3
21.12.2023;27.12.2023 03:00;36208;-5.5;0;-5;3.4;1963.7
21.12.2023;27.12.2023 06:00;36208;-4.4;0;-4.3;6.7;2071.5
21.12.2023;27.12.2023 09:00;36208;-5;0;-3.6;7.8;2137
21.12.2023;27.12.2023 12:00;36208;-5;0.8;-2.5;8.7;2232.2
